componente,modulo,grupo_referencia,tipo_prueba,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,correcta,puntaje
Competencias Ciudadanas,Arquitectura,GRP-17,Genérica,Enunciado de la pregunta 544 del componente Competencias Ciudadanas y módulo Arquitectura.,Opción A de la pregunta 544,Opción B de la pregunta 544,Opción C de la pregunta 544,Opción D de la pregunta 544,D,1.0
Lectura Crítica,Educación,GRP-15,Específica,Enunciado de la pregunta 545 del componente Lectura Crítica y módulo Educación.,Opción A de la pregunta 545,Opción B de la pregunta 545,Opción C de la pregunta 545,Opción D de la pregunta 545,B,1.0
Comunicación Escrita,Derecho,GRP-32,Específica,Enunciado de la pregunta 546 del componente Comunicación Escrita y módulo Derecho.,Opción A de la pregunta 546,Opción B de la pregunta 546,Opción C de la pregunta 546,Opción D de la pregunta 546,A,1.0
Inglés,Economía,GRP-41,Genérica,Enunciado de la pregunta 547 del componente Inglés y módulo Economía.,Opción A de la pregunta 547,Opción B de la pregunta 547,Opción C de la pregunta 547,Opción D de la pregunta 547,D,1.0
Inglés,Economía,GRP-30,Específica,Enunciado de la pregunta 548 del componente Inglés y módulo Economía.,Opción A de la pregunta 548,Opción B de la pregunta 548,Opción C de la pregunta 548,Opción D de la pregunta 548,A,1.0
Inglés,Economía,GRP-38,Genérica,Enunciado de la pregunta 549 del componente Inglés y módulo Economía.,Opción A de la pregunta 549,Opción B de la pregunta 549,Opción C de la pregunta 549,Opción D de la pregunta 549,B,1.0
Competencias Ciudadanas,Ingeniería,GRP-13,Específica,Enunciado de la pregunta 550 del componente Competencias Ciudadanas y módulo Ingeniería.,Opción A de la pregunta 550,Opción B de la pregunta 550,Opción C de la pregunta 550,Opción D de la pregunta 550,D,1.0
Razonamiento Cuantitativo,Educación,GRP-4,Genérica,Enunciado de la pregunta 551 del componente Razonamiento Cuantitativo y módulo Educación.,Opción A de la pregunta 551,Opción B de la pregunta 551,Opción C de la pregunta 551,Opción D de la pregunta 551,A,1.0
Lectura Crítica,Ingeniería,GRP-1,Específica,Enunciado de la pregunta 552 del componente Lectura Crítica y módulo Ingeniería.,Opción A de la pregunta 552,Opción B de la pregunta 552,Opción C de la pregunta 552,Opción D de la pregunta 552,B,1.0
Lectura Crítica,Salud,GRP-48,Genérica,Enunciado de la pregunta 553 del componente Lectura Crítica y módulo Salud.,Opción A de la pregunta 553,Opción B de la pregunta 553,Opción C de la pregunta 553,Opción D de la pregunta 553,C,1.0
Inglés,Ingeniería,GRP-1,Genérica,Enunciado de la pregunta 554 del componente Inglés y módulo Ingeniería.,Opción A de la pregunta 554,Opción B de la pregunta 554,Opción C de la pregunta 554,Opción D de la pregunta 554,D,1.0
Inglés,Ingeniería,GRP-31,Específica,Enunciado de la pregunta 555 del componente Inglés y módulo Ingeniería.,Opción A de la pregunta 555,Opción B de la pregunta 555,Opción C de la pregunta 555,Opción D de la pregunta 555,A,1.0
Competencias Ciudadanas,Arquitectura,GRP-22,Genérica,Enunciado de la pregunta 556 del componente Competencias Ciudadanas y módulo Arquitectura.,Opción A de la pregunta 556,Opción B de la pregunta 556,Opción C de la pregunta 556,Opción D de la pregunta 556,A,1.0
Competencias Ciudadanas,Derecho,GRP-21,Específica,Enunciado de la pregunta 557 del componente Competencias Ciudadanas y módulo Derecho.,Opción A de la pregunta 557,Opción B de la pregunta 557,Opción C de la pregunta 557,Opción D de la pregunta 557,B,1.0
Lectura Crítica,Administración,GRP-21,Específica,Enunciado de la pregunta 558 del componente Lectura Crítica y módulo Administración.,Opción A de la pregunta 558,Opción B de la pregunta 558,Opción C de la pregunta 558,Opción D de la pregunta 558,A,1.0
Razonamiento Cuantitativo,Economía,GRP-37,Genérica,Enunciado de la pregunta 559 del componente Razonamiento Cuantitativo y módulo Economía.,Opción A de la pregunta 559,Opción B de la pregunta 559,Opción C de la pregunta 559,Opción D de la pregunta 559,C,1.0
Lectura Crítica,Salud,GRP-50,Genérica,Enunciado de la pregunta 560 del componente Lectura Crítica y módulo Salud.,Opción A de la pregunta 560,Opción B de la pregunta 560,Opción C de la pregunta 560,Opción D de la pregunta 560,A,1.0
Razonamiento Cuantitativo,Arquitectura,GRP-44,Genérica,Enunciado de la pregunta 561 del componente Razonamiento Cuantitativo y módulo Arquitectura.,Opción A de la pregunta 561,Opción B de la pregunta 561,Opción C de la pregunta 561,Opción D de la pregunta 561,D,1.0
Comunicación Escrita,Ciencias Sociales,GRP-50,Genérica,Enunciado de la pregunta 562 del componente Comunicación Escrita y módulo Ciencias Sociales.,Opción A de la pregunta 562,Opción B de la pregunta 562,Opción C de la pregunta 562,Opción D de la pregunta 562,D,1.0
Lectura Crítica,Educación,GRP-22,Específica,Enunciado de la pregunta 563 del componente Lectura Crítica y módulo Educación.,Opción A de la pregunta 563,Opción B de la pregunta 563,Opción C de la pregunta 563,Opción D de la pregunta 563,A,1.0
Comunicación Escrita,Economía,GRP-38,Específica,Enunciado de la pregunta 564 del componente Comunicación Escrita y módulo Economía.,Opción A de la pregunta 564,Opción B de la pregunta 564,Opción C de la pregunta 564,Opción D de la pregunta 564,A,1.0
Razonamiento Cuantitativo,Derecho,GRP-9,Genérica,Enunciado de la pregunta 565 del componente Razonamiento Cuantitativo y módulo Derecho.,Opción A de la pregunta 565,Opción B de la pregunta 565,Opción C de la pregunta 565,Opción D de la pregunta 565,C,1.0
Competencias Ciudadanas,Economía,GRP-21,Genérica,Enunciado de la pregunta 566 del componente Competencias Ciudadanas y módulo Economía.,Opción A de la pregunta 566,Opción B de la pregunta 566,Opción C de la pregunta 566,Opción D de la pregunta 566,D,1.0
Competencias Ciudadanas,Derecho,GRP-22,Genérica,Enunciado de la pregunta 567 del componente Competencias Ciudadanas y módulo Derecho.,Opción A de la pregunta 567,Opción B de la pregunta 567,Opción C de la pregunta 567,Opción D de la pregunta 567,B,1.0
Competencias Ciudadanas,Ingeniería,GRP-3,Genérica,Enunciado de la pregunta 568 del componente Competencias Ciudadanas y módulo Ingeniería.,Opción A de la pregunta 568,Opción B de la pregunta 568,Opción C de la pregunta 568,Opción D de la pregunta 568,A,1.0
Razonamiento Cuantitativo,Educación,GRP-43,Específica,Enunciado de la pregunta 569 del componente Razonamiento Cuantitativo y módulo Educación.,Opción A de la pregunta 569,Opción B de la pregunta 569,Opción C de la pregunta 569,Opción D de la pregunta 569,A,1.0
Competencias Ciudadanas,Ciencias Sociales,GRP-35,Específica,Enunciado de la pregunta 570 del componente Competencias Ciudadanas y módulo Ciencias Sociales.,Opción A de la pregunta 570,Opción B de la pregunta 570,Opción C de la pregunta 570,Opción D de la pregunta 570,A,1.0
Razonamiento Cuantitativo,Educación,GRP-5,Genérica,Enunciado de la pregunta 571 del componente Razonamiento Cuantitativo y módulo Educación.,Opción A de la pregunta 571,Opción B de la pregunta 571,Opción C de la pregunta 571,Opción D de la pregunta 571,A,1.0
Lectura Crítica,Economía,GRP-36,Genérica,Enunciado de la pregunta 572 del componente Lectura Crítica y módulo Economía.,Opción A de la pregunta 572,Opción B de la pregunta 572,Opción C de la pregunta 572,Opción D de la pregunta 572,A,1.0
Competencias Ciudadanas,Economía,GRP-38,Específica,Enunciado de la pregunta 573 del componente Competencias Ciudadanas y módulo Economía.,Opción A de la pregunta 573,Opción B de la pregunta 573,Opción C de la pregunta 573,Opción D de la pregunta 573,B,1.0
Competencias Ciudadanas,Educación,GRP-21,Genérica,Enunciado de la pregunta 574 del componente Competencias Ciudadanas y módulo Educación.,Opción A de la pregunta 574,Opción B de la pregunta 574,Opción C de la pregunta 574,Opción D de la pregunta 574,D,1.0
Competencias Ciudadanas,Educación,GRP-6,Específica,Enunciado de la pregunta 575 del componente Competencias Ciudadanas y módulo Educación.,Opción A de la pregunta 575,Opción B de la pregunta 575,Opción C de la pregunta 575,Opción D de la pregunta 575,A,1.0
Inglés,Arquitectura,GRP-11,Específica,Enunciado de la pregunta 576 del componente Inglés y módulo Arquitectura.,Opción A de la pregunta 576,Opción B de la pregunta 576,Opción C de la pregunta 576,Opción D de la pregunta 576,C,1.0
Razonamiento Cuantitativo,Salud,GRP-5,Específica,Enunciado de la pregunta 577 del componente Razonamiento Cuantitativo y módulo Salud.,Opción A de la pregunta 577,Opción B de la pregunta 577,Opción C de la pregunta 577,Opción D de la pregunta 577,D,1.0
Inglés,Economía,GRP-45,Específica,Enunciado de la pregunta 578 del componente Inglés y módulo Economía.,Opción A de la pregunta 578,Opción B de la pregunta 578,Opción C de la pregunta 578,Opción D de la pregunta 578,A,1.0
Comunicación Escrita,Derecho,GRP-7,Específica,Enunciado de la pregunta 579 del componente Comunicación Escrita y módulo Derecho.,Opción A de la pregunta 579,Opción B de la pregunta 579,Opción C de la pregunta 579,Opción D de la pregunta 579,D,1.0
Inglés,Salud,GRP-20,Genérica,Enunciado de la pregunta 580 del componente Inglés y módulo Salud.,Opción A de la pregunta 580,Opción B de la pregunta 580,Opción C de la pregunta 580,Opción D de la pregunta 580,C,1.0
Inglés,Derecho,GRP-9,Genérica,Enunciado de la pregunta 581 del componente Inglés y módulo Derecho.,Opción A de la pregunta 581,Opción B de la pregunta 581,Opción C de la pregunta 581,Opción D de la pregunta 581,C,1.0
Lectura Crítica,Arquitectura,GRP-23,Genérica,Enunciado de la pregunta 582 del componente Lectura Crítica y módulo Arquitectura.,Opción A de la pregunta 582,Opción B de la pregunta 582,Opción C de la pregunta 582,Opción D de la pregunta 582,C,1.0
Comunicación Escrita,Arquitectura,GRP-31,Específica,Enunciado de la pregunta 583 del componente Comunicación Escrita y módulo Arquitectura.,Opción A de la pregunta 583,Opción B de la pregunta 583,Opción C de la pregunta 583,Opción D de la pregunta 583,D,1.0
Comunicación Escrita,Administración,GRP-17,Específica,Enunciado de la pregunta 584 del componente Comunicación Escrita y módulo Administración.,Opción A de la pregunta 584,Opción B de la pregunta 584,Opción C de la pregunta 584,Opción D de la pregunta 584,B,1.0
Competencias Ciudadanas,Administración,GRP-22,Genérica,Enunciado de la pregunta 585 del componente Competencias Ciudadanas y módulo Administración.,Opción A de la pregunta 585,Opción B de la pregunta 585,Opción C de la pregunta 585,Opción D de la pregunta 585,B,1.0
Competencias Ciudadanas,Educación,GRP-33,Genérica,Enunciado de la pregunta 586 del componente Competencias Ciudadanas y módulo Educación.,Opción A de la pregunta 586,Opción B de la pregunta 586,Opción C de la pregunta 586,Opción D de la pregunta 586,D,1.0
Inglés,Salud,GRP-2,Genérica,Enunciado de la pregunta 587 del componente Inglés y módulo Salud.,Opción A de la pregunta 587,Opción B de la pregunta 587,Opción C de la pregunta 587,Opción D de la pregunta 587,D,1.0
Lectura Crítica,Arquitectura,GRP-13,Genérica,Enunciado de la pregunta 588 del componente Lectura Crítica y módulo Arquitectura.,Opción A de la pregunta 588,Opción B de la pregunta 588,Opción C de la pregunta 588,Opción D de la pregunta 588,D,1.0
Razonamiento Cuantitativo,Educación,GRP-3,Genérica,Enunciado de la pregunta 589 del componente Razonamiento Cuantitativo y módulo Educación.,Opción A de la pregunta 589,Opción B de la pregunta 589,Opción C de la pregunta 589,Opción D de la pregunta 589,C,1.0
Razonamiento Cuantitativo,Ingeniería,GRP-8,Genérica,Enunciado de la pregunta 590 del componente Razonamiento Cuantitativo y módulo Ingeniería.,Opción A de la pregunta 590,Opción B de la pregunta 590,Opción C de la pregunta 590,Opción D de la pregunta 590,D,1.0
Razonamiento Cuantitativo,Arquitectura,GRP-39,Específica,Enunciado de la pregunta 591 del componente Razonamiento Cuantitativo y módulo Arquitectura.,Opción A de la pregunta 591,Opción B de la pregunta 591,Opción C de la pregunta 591,Opción D de la pregunta 591,C,1.0
Inglés,Ciencias Sociales,GRP-27,Específica,Enunciado de la pregunta 592 del componente Inglés y módulo Ciencias Sociales.,Opción A de la pregunta 592,Opción B de la pregunta 592,Opción C de la pregunta 592,Opción D de la pregunta 592,A,1.0
Razonamiento Cuantitativo,Economía,GRP-47,Específica,Enunciado de la pregunta 593 del componente Razonamiento Cuantitativo y módulo Economía.,Opción A de la pregunta 593,Opción B de la pregunta 593,Opción C de la pregunta 593,Opción D de la pregunta 593,D,1.0
Lectura Crítica,Salud,GRP-46,Específica,Enunciado de la pregunta 594 del componente Lectura Crítica y módulo Salud.,Opción A de la pregunta 594,Opción B de la pregunta 594,Opción C de la pregunta 594,Opción D de la pregunta 594,A,1.0
Razonamiento Cuantitativo,Arquitectura,GRP-32,Genérica,Enunciado de la pregunta 595 del componente Razonamiento Cuantitativo y módulo Arquitectura.,Opción A de la pregunta 595,Opción B de la pregunta 595,Opción C de la pregunta 595,Opción D de la pregunta 595,D,1.0
Inglés,Salud,GRP-25,Genérica,Enunciado de la pregunta 596 del componente Inglés y módulo Salud.,Opción A de la pregunta 596,Opción B de la pregunta 596,Opción C de la pregunta 596,Opción D de la pregunta 596,A,1.0
Inglés,Educación,GRP-10,Genérica,Enunciado de la pregunta 597 del componente Inglés y módulo Educación.,Opción A de la pregunta 597,Opción B de la pregunta 597,Opción C de la pregunta 597,Opción D de la pregunta 597,B,1.0
Razonamiento Cuantitativo,Economía,GRP-9,Específica,Enunciado de la pregunta 598 del componente Razonamiento Cuantitativo y módulo Economía.,Opción A de la pregunta 598,Opción B de la pregunta 598,Opción C de la pregunta 598,Opción D de la pregunta 598,B,1.0
Competencias Ciudadanas,Salud,GRP-30,Específica,Enunciado de la pregunta 599 del componente Competencias Ciudadanas y módulo Salud.,Opción A de la pregunta 599,Opción B de la pregunta 599,Opción C de la pregunta 599,Opción D de la pregunta 599,C,1.0
Competencias Ciudadanas,Administración,GRP-22,Específica,Enunciado de la pregunta 600 del componente Competencias Ciudadanas y módulo Administración.,Opción A de la pregunta 600,Opción B de la pregunta 600,Opción C de la pregunta 600,Opción D de la pregunta 600,A,1.0
Competencias Ciudadanas,Arquitectura,GRP-9,Genérica,Enunciado de la pregunta 601 del componente Competencias Ciudadanas y módulo Arquitectura.,Opción A de la pregunta 601,Opción B de la pregunta 601,Opción C de la pregunta 601,Opción D de la pregunta 601,C,1.0
Lectura Crítica,Economía,GRP-6,Específica,Enunciado de la pregunta 602 del componente Lectura Crítica y módulo Economía.,Opción A de la pregunta 602,Opción B de la pregunta 602,Opción C de la pregunta 602,Opción D de la pregunta 602,C,1.0
Competencias Ciudadanas,Derecho,GRP-34,Genérica,Enunciado de la pregunta 603 del componente Competencias Ciudadanas y módulo Derecho.,Opción A de la pregunta 603,Opción B de la pregunta 603,Opción C de la pregunta 603,Opción D de la pregunta 603,C,1.0
Lectura Crítica,Arquitectura,GRP-43,Genérica,Enunciado de la pregunta 604 del componente Lectura Crítica y módulo Arquitectura.,Opción A de la pregunta 604,Opción B de la pregunta 604,Opción C de la pregunta 604,Opción D de la pregunta 604,B,1.0
Lectura Crítica,Ingeniería,GRP-40,Genérica,Enunciado de la pregunta 605 del componente Lectura Crítica y módulo Ingeniería.,Opción A de la pregunta 605,Opción B de la pregunta 605,Opción C de la pregunta 605,Opción D de la pregunta 605,D,1.0
Razonamiento Cuantitativo,Salud,GRP-49,Específica,Enunciado de la pregunta 606 del componente Razonamiento Cuantitativo y módulo Salud.,Opción A de la pregunta 606,Opción B de la pregunta 606,Opción C de la pregunta 606,Opción D de la pregunta 606,C,1.0
Competencias Ciudadanas,Educación,GRP-45,Genérica,Enunciado de la pregunta 607 del componente Competencias Ciudadanas y módulo Educación.,Opción A de la pregunta 607,Opción B de la pregunta 607,Opción C de la pregunta 607,Opción D de la pregunta 607,D,1.0
Razonamiento Cuantitativo,Arquitectura,GRP-22,Específica,Enunciado de la pregunta 608 del componente Razonamiento Cuantitativo y módulo Arquitectura.,Opción A de la pregunta 608,Opción B de la pregunta 608,Opción C de la pregunta 608,Opción D de la pregunta 608,A,1.0
Comunicación Escrita,Administración,GRP-44,Genérica,Enunciado de la pregunta 609 del componente Comunicación Escrita y módulo Administración.,Opción A de la pregunta 609,Opción B de la pregunta 609,Opción C de la pregunta 609,Opción D de la pregunta 609,A,1.0
Razonamiento Cuantitativo,Derecho,GRP-18,Específica,Enunciado de la pregunta 610 del componente Razonamiento Cuantitativo y módulo Derecho.,Opción A de la pregunta 610,Opción B de la pregunta 610,Opción C de la pregunta 610,Opción D de la pregunta 610,A,1.0
Razonamiento Cuantitativo,Derecho,GRP-39,Específica,Enunciado de la pregunta 611 del componente Razonamiento Cuantitativo y módulo Derecho.,Opción A de la pregunta 611,Opción B de la pregunta 611,Opción C de la pregunta 611,Opción D de la pregunta 611,A,1.0
Comunicación Escrita,Salud,GRP-13,Específica,Enunciado de la pregunta 612 del componente Comunicación Escrita y módulo Salud.,Opción A de la pregunta 612,Opción B de la pregunta 612,Opción C de la pregunta 612,Opción D de la pregunta 612,C,1.0
Comunicación Escrita,Derecho,GRP-37,Genérica,Enunciado de la pregunta 613 del componente Comunicación Escrita y módulo Derecho.,Opción A de la pregunta 613,Opción B de la pregunta 613,Opción C de la pregunta 613,Opción D de la pregunta 613,D,1.0
Razonamiento Cuantitativo,Ciencias Sociales,GRP-27,Genérica,Enunciado de la pregunta 614 del componente Razonamiento Cuantitativo y módulo Ciencias Sociales.,Opción A de la pregunta 614,Opción B de la pregunta 614,Opción C de la pregunta 614,Opción D de la pregunta 614,D,1.0
Comunicación Escrita,Derecho,GRP-15,Específica,Enunciado de la pregunta 615 del componente Comunicación Escrita y módulo Derecho.,Opción A de la pregunta 615,Opción B de la pregunta 615,Opción C de la pregunta 615,Opción D de la pregunta 615,C,1.0
Razonamiento Cuantitativo,Arquitectura,GRP-22,Específica,Enunciado de la pregunta 616 del componente Razonamiento Cuantitativo y módulo Arquitectura.,Opción A de la pregunta 616,Opción B de la pregunta 616,Opción C de la pregunta 616,Opción D de la pregunta 616,A,1.0
Competencias Ciudadanas,Arquitectura,GRP-20,Específica,Enunciado de la pregunta 617 del componente Competencias Ciudadanas y módulo Arquitectura.,Opción A de la pregunta 617,Opción B de la pregunta 617,Opción C de la pregunta 617,Opción D de la pregunta 617,B,1.0
Inglés,Ciencias Sociales,GRP-20,Específica,Enunciado de la pregunta 618 del componente Inglés y módulo Ciencias Sociales.,Opción A de la pregunta 618,Opción B de la pregunta 618,Opción C de la pregunta 618,Opción D de la pregunta 618,D,1.0
Inglés,Arquitectura,GRP-28,Específica,Enunciado de la pregunta 619 del componente Inglés y módulo Arquitectura.,Opción A de la pregunta 619,Opción B de la pregunta 619,Opción C de la pregunta 619,Opción D de la pregunta 619,A,1.0
Lectura Crítica,Educación,GRP-16,Genérica,Enunciado de la pregunta 620 del componente Lectura Crítica y módulo Educación.,Opción A de la pregunta 620,Opción B de la pregunta 620,Opción C de la pregunta 620,Opción D de la pregunta 620,C,1.0
Razonamiento Cuantitativo,Derecho,GRP-21,Específica,Enunciado de la pregunta 621 del componente Razonamiento Cuantitativo y módulo Derecho.,Opción A de la pregunta 621,Opción B de la pregunta 621,Opción C de la pregunta 621,Opción D de la pregunta 621,A,1.0
Competencias Ciudadanas,Derecho,GRP-22,Genérica,Enunciado de la pregunta 622 del componente Competencias Ciudadanas y módulo Derecho.,Opción A de la pregunta 622,Opción B de la pregunta 622,Opción C de la pregunta 622,Opción D de la pregunta 622,A,1.0
Comunicación Escrita,Educación,GRP-18,Específica,Enunciado de la pregunta 623 del componente Comunicación Escrita y módulo Educación.,Opción A de la pregunta 623,Opción B de la pregunta 623,Opción C de la pregunta 623,Opción D de la pregunta 623,B,1.0
Lectura Crítica,Educación,GRP-24,Específica,Enunciado de la pregunta 624 del componente Lectura Crítica y módulo Educación.,Opción A de la pregunta 624,Opción B de la pregunta 624,Opción C de la pregunta 624,Opción D de la pregunta 624,D,1.0
Competencias Ciudadanas,Economía,GRP-31,Específica,Enunciado de la pregunta 625 del componente Competencias Ciudadanas y módulo Economía.,Opción A de la pregunta 625,Opción B de la pregunta 625,Opción C de la pregunta 625,Opción D de la pregunta 625,C,1.0
Inglés,Ingeniería,GRP-8,Específica,Enunciado de la pregunta 626 del componente Inglés y módulo Ingeniería.,Opción A de la pregunta 626,Opción B de la pregunta 626,Opción C de la pregunta 626,Opción D de la pregunta 626,C,1.0
Inglés,Salud,GRP-22,Específica,Enunciado de la pregunta 627 del componente Inglés y módulo Salud.,Opción A de la pregunta 627,Opción B de la pregunta 627,Opción C de la pregunta 627,Opción D de la pregunta 627,C,1.0
Razonamiento Cuantitativo,Salud,GRP-4,Específica,Enunciado de la pregunta 628 del componente Razonamiento Cuantitativo y módulo Salud.,Opción A de la pregunta 628,Opción B de la pregunta 628,Opción C de la pregunta 628,Opción D de la pregunta 628,B,1.0
Lectura Crítica,Economía,GRP-46,Genérica,Enunciado de la pregunta 629 del componente Lectura Crítica y módulo Economía.,Opción A de la pregunta 629,Opción B de la pregunta 629,Opción C de la pregunta 629,Opción D de la pregunta 629,B,1.0
Inglés,Arquitectura,GRP-10,Específica,Enunciado de la pregunta 630 del componente Inglés y módulo Arquitectura.,Opción A de la pregunta 630,Opción B de la pregunta 630,Opción C de la pregunta 630,Opción D de la pregunta 630,A,1.0
Competencias Ciudadanas,Salud,GRP-27,Específica,Enunciado de la pregunta 631 del componente Competencias Ciudadanas y módulo Salud.,Opción A de la pregunta 631,Opción B de la pregunta 631,Opción C de la pregunta 631,Opción D de la pregunta 631,C,1.0
Inglés,Ciencias Sociales,GRP-41,Específica,Enunciado de la pregunta 632 del componente Inglés y módulo Ciencias Sociales.,Opción A de la pregunta 632,Opción B de la pregunta 632,Opción C de la pregunta 632,Opción D de la pregunta 632,D,1.0
Razonamiento Cuantitativo,Ciencias Sociales,GRP-37,Genérica,Enunciado de la pregunta 633 del componente Razonamiento Cuantitativo y módulo Ciencias Sociales.,Opción A de la pregunta 633,Opción B de la pregunta 633,Opción C de la pregunta 633,Opción D de la pregunta 633,C,1.0
Razonamiento Cuantitativo,Ingeniería,GRP-14,Específica,Enunciado de la pregunta 634 del componente Razonamiento Cuantitativo y módulo Ingeniería.,Opción A de la pregunta 634,Opción B de la pregunta 634,Opción C de la pregunta 634,Opción D de la pregunta 634,C,1.0
Inglés,Derecho,GRP-29,Genérica,Enunciado de la pregunta 635 del componente Inglés y módulo Derecho.,Opción A de la pregunta 635,Opción B de la pregunta 635,Opción C de la pregunta 635,Opción D de la pregunta 635,D,1.0
Lectura Crítica,Ingeniería,GRP-16,Genérica,Enunciado de la pregunta 636 del componente Lectura Crítica y módulo Ingeniería.,Opción A de la pregunta 636,Opción B de la pregunta 636,Opción C de la pregunta 636,Opción D de la pregunta 636,A,1.0
Inglés,Ingeniería,GRP-29,Genérica,Enunciado de la pregunta 637 del componente Inglés y módulo Ingeniería.,Opción A de la pregunta 637,Opción B de la pregunta 637,Opción C de la pregunta 637,Opción D de la pregunta 637,D,1.0
Inglés,Arquitectura,GRP-42,Específica,Enunciado de la pregunta 638 del componente Inglés y módulo Arquitectura.,Opción A de la pregunta 638,Opción B de la pregunta 638,Opción C de la pregunta 638,Opción D de la pregunta 638,C,1.0
Razonamiento Cuantitativo,Derecho,GRP-35,Genérica,Enunciado de la pregunta 639 del componente Razonamiento Cuantitativo y módulo Derecho.,Opción A de la pregunta 639,Opción B de la pregunta 639,Opción C de la pregunta 639,Opción D de la pregunta 639,B,1.0
Inglés,Administración,GRP-47,Genérica,Enunciado de la pregunta 640 del componente Inglés y módulo Administración.,Opción A de la pregunta 640,Opción B de la pregunta 640,Opción C de la pregunta 640,Opción D de la pregunta 640,D,1.0
Competencias Ciudadanas,Administración,GRP-22,Específica,Enunciado de la pregunta 641 del componente Competencias Ciudadanas y módulo Administración.,Opción A de la pregunta 641,Opción B de la pregunta 641,Opción C de la pregunta 641,Opción D de la pregunta 641,D,1.0
Competencias Ciudadanas,Economía,GRP-2,Genérica,Enunciado de la pregunta 642 del componente Competencias Ciudadanas y módulo Economía.,Opción A de la pregunta 642,Opción B de la pregunta 642,Opción C de la pregunta 642,Opción D de la pregunta 642,D,1.0
Inglés,Arquitectura,GRP-1,Genérica,Enunciado de la pregunta 643 del componente Inglés y módulo Arquitectura.,Opción A de la pregunta 643,Opción B de la pregunta 643,Opción C de la pregunta 643,Opción D de la pregunta 643,A,1.0
Razonamiento Cuantitativo,Economía,GRP-11,Específica,Enunciado de la pregunta 644 del componente Razonamiento Cuantitativo y módulo Economía.,Opción A de la pregunta 644,Opción B de la pregunta 644,Opción C de la pregunta 644,Opción D de la pregunta 644,A,1.0
Lectura Crítica,Salud,GRP-1,Específica,Enunciado de la pregunta 645 del componente Lectura Crítica y módulo Salud.,Opción A de la pregunta 645,Opción B de la pregunta 645,Opción C de la pregunta 645,Opción D de la pregunta 645,C,1.0
Razonamiento Cuantitativo,Ingeniería,GRP-34,Específica,Enunciado de la pregunta 646 del componente Razonamiento Cuantitativo y módulo Ingeniería.,Opción A de la pregunta 646,Opción B de la pregunta 646,Opción C de la pregunta 646,Opción D de la pregunta 646,A,1.0
Comunicación Escrita,Salud,GRP-10,Específica,Enunciado de la pregunta 647 del componente Comunicación Escrita y módulo Salud.,Opción A de la pregunta 647,Opción B de la pregunta 647,Opción C de la pregunta 647,Opción D de la pregunta 647,D,1.0
Lectura Crítica,Arquitectura,GRP-42,Específica,Enunciado de la pregunta 648 del componente Lectura Crítica y módulo Arquitectura.,Opción A de la pregunta 648,Opción B de la pregunta 648,Opción C de la pregunta 648,Opción D de la pregunta 648,C,1.0
Razonamiento Cuantitativo,Ingeniería,GRP-12,Específica,Enunciado de la pregunta 649 del componente Razonamiento Cuantitativo y módulo Ingeniería.,Opción A de la pregunta 649,Opción B de la pregunta 649,Opción C de la pregunta 649,Opción D de la pregunta 649,D,1.0
Inglés,Salud,GRP-12,Específica,Enunciado de la pregunta 650 del componente Inglés y módulo Salud.,Opción A de la pregunta 650,Opción B de la pregunta 650,Opción C de la pregunta 650,Opción D de la pregunta 650,C,1.0
Lectura Crítica,Administración,GRP-24,Específica,Enunciado de la pregunta 651 del componente Lectura Crítica y módulo Administración.,Opción A de la pregunta 651,Opción B de la pregunta 651,Opción C de la pregunta 651,Opción D de la pregunta 651,D,1.0
Lectura Crítica,Ingeniería,GRP-30,Genérica,Enunciado de la pregunta 652 del componente Lectura Crítica y módulo Ingeniería.,Opción A de la pregunta 652,Opción B de la pregunta 652,Opción C de la pregunta 652,Opción D de la pregunta 652,B,1.0
Lectura Crítica,Economía,GRP-33,Específica,Enunciado de la pregunta 653 del componente Lectura Crítica y módulo Economía.,Opción A de la pregunta 653,Opción B de la pregunta 653,Opción C de la pregunta 653,Opción D de la pregunta 653,A,1.0
Comunicación Escrita,Administración,GRP-8,Específica,Enunciado de la pregunta 654 del componente Comunicación Escrita y módulo Administración.,Opción A de la pregunta 654,Opción B de la pregunta 654,Opción C de la pregunta 654,Opción D de la pregunta 654,A,1.0
Inglés,Salud,GRP-29,Genérica,Enunciado de la pregunta 655 del componente Inglés y módulo Salud.,Opción A de la pregunta 655,Opción B de la pregunta 655,Opción C de la pregunta 655,Opción D de la pregunta 655,C,1.0
Comunicación Escrita,Derecho,GRP-37,Genérica,Enunciado de la pregunta 656 del componente Comunicación Escrita y módulo Derecho.,Opción A de la pregunta 656,Opción B de la pregunta 656,Opción C de la pregunta 656,Opción D de la pregunta 656,B,1.0
Comunicación Escrita,Derecho,GRP-11,Genérica,Enunciado de la pregunta 657 del componente Comunicación Escrita y módulo Derecho.,Opción A de la pregunta 657,Opción B de la pregunta 657,Opción C de la pregunta 657,Opción D de la pregunta 657,C,1.0
Razonamiento Cuantitativo,Economía,GRP-22,Genérica,Enunciado de la pregunta 658 del componente Razonamiento Cuantitativo y módulo Economía.,Opción A de la pregunta 658,Opción B de la pregunta 658,Opción C de la pregunta 658,Opción D de la pregunta 658,D,1.0
