componente,modulo,grupo_ref,tipo_prueba,enunciado,op_a,op_b,op_c,op_d,correcta
Competencias Ciudadanas,Fisiología,Salud,especifica,"Situación (Fisiología, Salud): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Recursos Humanos,Administración,especifica,"Situación (Recursos Humanos, Administración): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Convivencia y Paz,Derecho,generica,"Situación (Convivencia y Paz, Derecho): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,"Pluralidad, Identidad y Valoración de las Diferencias",Ingeniería,generica,"Situación (Pluralidad, Identidad y Valoración de las Diferencias, Ingeniería): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Convivencia y Paz,Tecnología,generica,"Situación (Convivencia y Paz, Tecnología): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Convivencia y Paz,Salud,generica,"Situación (Convivencia y Paz, Salud): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Psicopedagogía,Educación,especifica,"Situación (Psicopedagogía, Educación): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Convivencia y Paz,Ingeniería,generica,"Situación (Convivencia y Paz, Ingeniería): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Recursos Humanos,Administración,especifica,"Situación (Recursos Humanos, Administración): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Derecho Penal,Derecho,especifica,"Situación (Derecho Penal, Derecho): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Participación y Responsabilidad,Tecnología,generica,"Situación (Participación y Responsabilidad, Tecnología): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Derecho Penal,Derecho,especifica,"Situación (Derecho Penal, Derecho): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Didáctica,Educación,especifica,"Situación (Didáctica, Educación): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Convivencia y Paz,Tecnología,generica,"Situación (Convivencia y Paz, Tecnología): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Participación y Responsabilidad,Educación,generica,"Situación (Participación y Responsabilidad, Educación): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,"Pluralidad, Identidad y Valoración de las Diferencias",Ingeniería,generica,"Situación (Pluralidad, Identidad y Valoración de las Diferencias, Ingeniería): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Convivencia y Paz,Educación,generica,"Situación (Convivencia y Paz, Educación): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Convivencia y Paz,Salud,generica,"Situación (Convivencia y Paz, Salud): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Derecho Constitucional,Derecho,especifica,"Situación (Derecho Constitucional, Derecho): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Convivencia y Paz,Ingeniería,generica,"Situación (Convivencia y Paz, Ingeniería): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Convivencia y Paz,Salud,generica,"Situación (Convivencia y Paz, Salud): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Participación y Responsabilidad,Ingeniería,generica,"Situación (Participación y Responsabilidad, Ingeniería): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Logística,Administración,especifica,"Situación (Logística, Administración): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Participación y Responsabilidad,Ingeniería,generica,"Situación (Participación y Responsabilidad, Ingeniería): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Teoría del Derecho,Derecho,especifica,"Situación (Teoría del Derecho, Derecho): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Análisis de Señales,Ingeniería,especifica,"Situación (Análisis de Señales, Ingeniería): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,"Pluralidad, Identidad y Valoración de las Diferencias",Administración,generica,"Situación (Pluralidad, Identidad y Valoración de las Diferencias, Administración): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Participación y Responsabilidad,Administración,generica,"Situación (Participación y Responsabilidad, Administración): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Farmacología,Salud,especifica,"Situación (Farmacología, Salud): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Bases de Datos,Ingeniería,especifica,"Situación (Bases de Datos, Ingeniería): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Participación y Responsabilidad,Administración,generica,"Situación (Participación y Responsabilidad, Administración): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Sistemas Embebidos,Ingeniería,especifica,"Situación (Sistemas Embebidos, Ingeniería): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Convivencia y Paz,Educación,generica,"Situación (Convivencia y Paz, Educación): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,"Pluralidad, Identidad y Valoración de las Diferencias",Tecnología,generica,"Situación (Pluralidad, Identidad y Valoración de las Diferencias, Tecnología): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Teoría del Derecho,Derecho,especifica,"Situación (Teoría del Derecho, Derecho): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Participación y Responsabilidad,Tecnología,generica,"Situación (Participación y Responsabilidad, Tecnología): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Participación y Responsabilidad,Tecnología,generica,"Situación (Participación y Responsabilidad, Tecnología): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,"Pluralidad, Identidad y Valoración de las Diferencias",Tecnología,generica,"Situación (Pluralidad, Identidad y Valoración de las Diferencias, Tecnología): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Convivencia y Paz,Tecnología,generica,"Situación (Convivencia y Paz, Tecnología): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Convivencia y Paz,Educación,generica,"Situación (Convivencia y Paz, Educación): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Psicopedagogía,Educación,especifica,"Situación (Psicopedagogía, Educación): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,"Pluralidad, Identidad y Valoración de las Diferencias",Ingeniería,generica,"Situación (Pluralidad, Identidad y Valoración de las Diferencias, Ingeniería): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Participación y Responsabilidad,Ingeniería,generica,"Situación (Participación y Responsabilidad, Ingeniería): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,"Pluralidad, Identidad y Valoración de las Diferencias",Ingeniería,generica,"Situación (Pluralidad, Identidad y Valoración de las Diferencias, Ingeniería): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Desarrollo Web,Tecnología,especifica,"Situación (Desarrollo Web, Tecnología): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Marketing,Administración,especifica,"Situación (Marketing, Administración): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Participación y Responsabilidad,Salud,generica,"Situación (Participación y Responsabilidad, Salud): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Participación y Responsabilidad,Salud,generica,"Situación (Participación y Responsabilidad, Salud): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Convivencia y Paz,Derecho,generica,"Situación (Convivencia y Paz, Derecho): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Participación y Responsabilidad,Ingeniería,generica,"Situación (Participación y Responsabilidad, Ingeniería): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,"Pluralidad, Identidad y Valoración de las Diferencias",Salud,generica,"Situación (Pluralidad, Identidad y Valoración de las Diferencias, Salud): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,"Pluralidad, Identidad y Valoración de las Diferencias",Administración,generica,"Situación (Pluralidad, Identidad y Valoración de las Diferencias, Administración): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Evaluación Educativa,Educación,especifica,"Situación (Evaluación Educativa, Educación): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Participación y Responsabilidad,Derecho,generica,"Situación (Participación y Responsabilidad, Derecho): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Convivencia y Paz,Administración,generica,"Situación (Convivencia y Paz, Administración): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Teoría del Derecho,Derecho,especifica,"Situación (Teoría del Derecho, Derecho): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Derecho Penal,Derecho,especifica,"Situación (Derecho Penal, Derecho): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Convivencia y Paz,Tecnología,generica,"Situación (Convivencia y Paz, Tecnología): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Bases de Datos,Ingeniería,especifica,"Situación (Bases de Datos, Ingeniería): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Evaluación Educativa,Educación,especifica,"Situación (Evaluación Educativa, Educación): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,Participación y Responsabilidad,Salud,generica,"Situación (Participación y Responsabilidad, Salud): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Desarrollo Web,Tecnología,especifica,"Situación (Desarrollo Web, Tecnología): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,"Pluralidad, Identidad y Valoración de las Diferencias",Salud,generica,"Situación (Pluralidad, Identidad y Valoración de las Diferencias, Salud): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Derecho Penal,Derecho,especifica,"Situación (Derecho Penal, Derecho): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Participación y Responsabilidad,Ingeniería,generica,"Situación (Participación y Responsabilidad, Ingeniería): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Recursos Humanos,Administración,especifica,"Situación (Recursos Humanos, Administración): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
Competencias Ciudadanas,"Pluralidad, Identidad y Valoración de las Diferencias",Salud,generica,"Situación (Pluralidad, Identidad y Valoración de las Diferencias, Salud): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Arquitectura de Computadores,Tecnología,especifica,"Situación (Arquitectura de Computadores, Tecnología): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,Administración Financiera,Administración,especifica,"Situación (Administración Financiera, Administración): En un barrio, dos vecinos discuten por el ruido nocturno. ¿Cuál es la acción más acorde con los valores democráticos?",Proponer reglas de convivencia mediadas por la comunidad,Amenazar con sanciones sin diálogo,Ignorar el problema por considerarlo personal,Publicar en redes sociales para presionar,A
Competencias Ciudadanas,"Pluralidad, Identidad y Valoración de las Diferencias",Salud,generica,"Situación (Pluralidad, Identidad y Valoración de las Diferencias, Salud): En una asamblea estudiantil se debate asignar presupuesto solo a un programa que beneficia a un grupo minoritario. ¿Cuál es la acción más acorde con los valores democráticos?",Defender el derecho a la igualdad y buscar un acuerdo que incluya a todos,Imponer por mayoría la asignación sin dialogar,Ignorar a la minoría para evitar conflictos,Cancelar la asamblea por falta de consenso,A
